movieId,movieName,nbMentions
75796,Headhunter  (2009),1
75815,Angels in the Outfield  (1994),6
75822,Eddie and the Cruisers (1983),1
75828,Ninja Assassin (2009),5
75867,Orgazmo (1997),3
75881,Toy Story 2 (1999),26
75903,A Star Is Born  (1954),2
75918,Pretty in Pink (1986),54
75962,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1
75968,An American Werewolf in Paris (1997),3
75981,The Golden Temple  (2012),1
75984,Fool's Gold  (2008),9
76012,The Exorcist  (1973),174
76019,The War Bride (2001),4
76023,Flick  (2008),1
76036,National Security  (2012),1
76042,The Vow  (2012),28
76067,Winter's Bone (2010),3
76069,Love Station (2016),1
76071,Fight Club – Members Only (2006),1
76102,IMurders (2008),1
76111,Pocahontas II: Journey to a New World (1998),1
76113,Just One of the Guys (1985),1
76130,Prince  (1969),1
76137,Love Liza (2002),1
76143,Anomalisa (2015),2
76145,The Great Gatsby  (1926),1
76160,Million Dollar Baby (2004),30
76170,Insidious: Chapter 3 (2015),2
76171,The Mummy ,1
76177,Ride Along 2 (2016),10
76187,The Hills Have Eyes  (2006),10
76195,Dirty Work  (1998),1
76198,North Dallas Forty (1979),2
76279,Death at a Funeral  (2007),4
76284,The Cowboys (1972),2
76325,My Scientology Movie (2015),1
76336,Blackhat  (2015),2
76339,Hereafter  (2010),2
76356,The Parent Trap  (1998),25
76365,Anna and the King (1999),2
76391,Beware! The Blob (1972),1
76481,The Exorcist ,10
76483,Brave  (2012),32
76488,The Royal Scandal,1
76508,Chloe  (2009),1
76512,Mississippi Damned (2009),1
76519,Cloverfield (2008),32
76524,Okja,8
76530,Killers  (2010),6
76620,The Shaggy Dog  (1959),1
76627,No Good Deed  (2014),2
76636,Double Impact (1991),2
76639,First Kill  (2017),1
76658,Torque  (2004),1
76660,Batman: Revenge (2003),3
76706,The Incredible Hulk  (2008),35
76724,Red Lines (2014),1
76746,All the Pretty Horses  (2000),1
76757,Pinocchio  (1940),2
76772,Ouija  (2015),7
76781,White Men Can't Jump (1992),6
76802,Contagion  (2011),5
76825,Death of a Ghost Hunter (2007),1
76829,The Sweetest Thing (2002),9
76845,Good Burger,2
76847,Police Story 2  (2007),1
76849,Veronica Mars  (2014),2
76861,Project Almanac (2015),1
76887,One Piece Film: Strong World (2009),1
76935,First Sunday (2008),2
76940,Harry Potter and the Goblet of Fire  (2005),51
77043,Uptown Saturday Night (1974),2
77045,Christmas in Love (2004),1
77066,Identity  (2003),45
77115,Jack Reacher  (2012),31
77128,Insidious ,8
77136,Not Fade Away  (2012),3
77140,The Living Daylights (1987),2
77141,The Lovely Bones  (2009),10
77154,Flypaper  (2011),1
77161,A Nightmare on Elm Street (1984),164
77176,Straight to Hell  (1987),1
77190,Lethal Weapon 4 (1998),3
77195,Bee Movie (2007),8
77216,Beethoven's 2nd  (1993),1
77253,They Look Like People (2015),2
